Generated DX Campaign 200
Generated: 2026-07-29 14:52:16
Cadence: 4 Easy, 1 Hard, 4 Easy, 1 Very Hard.
Easy uses Complex Guided DX. Hard and Very Hard use Complex Guided DX Flow.
Exactly 50 deterministic random campaign positions use custom board shapes.
Coverage target: 100% of every active board cell.

001. 1_Level_EZ_1 [EASY]: 10x9 Rectangle, DX complexity 66%, 14 arrows, 90/90 cells (100.0 %), waves 9, widest 2, >2 waves 0, initial 2, avg turns 2.21, longest 12, cross T>B 2/B>T 1, L>R 2/R>L 1, regions 6, streak 2, backtrack H5/V3, seed campaign.
179. 179_Level_EZ_144 [EASY]: 34x32 Rectangle, DX complexity 100%, 68 arrows, 1023/1023 cells (100.0 %), waves 27, widest 6, >2 waves 11, initial 2, avg turns 3.97, longest 36, cross T>B 4/B>T 5, L>R 3/R>L 3, regions 7, streak 6, backtrack H13/V15, seed campaign.
180. 180_Level_VH_18 [VERY HARD]: 39x38 Rectangle, DX Flow complexity 100%, 74 arrows, 1406/1406 cells (100.0 %), waves 32, widest 5, >2 waves 11, initial 2, avg turns 5.19, longest 42, cross T>B 8/B>T 3, L>R 6/R>L 4, regions 12, streak 6, backtrack H15/V14, seed campaign.
181. 181_Level_EZ_145 [EASY]: 36x35 LShape, DX complexity 100%, 51 arrows, 684/684 cells (100.0 %), waves 28, widest 4, >2 waves 6, initial 2, avg turns 4.06, longest 30, cross T>B 3/B>T 0, L>R 2/R>L 6, regions 6, streak 7, backtrack H16/V14, seed campaign.
182. 182_Level_EZ_146 [EASY]: 37x35 TwinBlocks, DX complexity 100%, 61 arrows, 926/926 cells (100.0 %), waves 32, widest 5, >2 waves 6, initial 2, avg turns 4.25, longest 38, cross T>B 3/B>T 3, L>R 2/R>L 0, regions 12, streak 6, backtrack H17/V17, seed campaign.
183. 183_Level_EZ_147 [EASY]: 37x36 Rectangle, DX complexity 100%, 65 arrows, 1056/1056 cells (100.0 %), waves 33, widest 4, >2 waves 6, initial 2, avg turns 4.09, longest 36, cross T>B 4/B>T 7, L>R 3/R>L 4, regions 12, streak 7, backtrack H15/V14, seed campaign.
184. 184_Level_EZ_148 [EASY]: 37x36 Staircase, DX complexity 100%, 67 arrows, 1044/1044 cells (100.0 %), waves 35, widest 5, >2 waves 8, initial 3, avg turns 4.09, longest 38, cross T>B 2/B>T 3, L>R 5/R>L 5, regions 10, streak 7, backtrack H24/V16, seed campaign.
185. 185_Level_H_19 [HARD]: 39x37 Rectangle, DX Flow complexity 100%, 72 arrows, 1224/1224 cells (100.0 %), waves 35, widest 5, >2 waves 11, initial 2, avg turns 4.47, longest 40, cross T>B 5/B>T 3, L>R 6/R>L 2, regions 10, streak 9, backtrack H15/V18, seed campaign.
186. 186_Level_EZ_149 [EASY]: 36x35 Cross, DX complexity 100%, 56 arrows, 708/708 cells (100.0 %), waves 21, widest 5, >2 waves 9, initial 2, avg turns 3.79, longest 31, cross T>B 2/B>T 7, L>R 6/R>L 6, regions 10, streak 4, backtrack H11/V6, seed campaign.
187. 187_Level_EZ_150 [EASY]: 37x35 Rectangle, DX complexity 100%, 69 arrows, 1023/1023 cells (100.0 %), waves 31, widest 5, >2 waves 12, initial 2, avg turns 3.94, longest 36, cross T>B 1/B>T 6, L>R 8/R>L 5, regions 12, streak 9, backtrack H17/V14, seed campaign.
188. 188_Level_EZ_151 [EASY]: 37x36 Dumbbell, DX complexity 100%, 66 arrows, 1051/1051 cells (100.0 %), waves 34, widest 5, >2 waves 7, initial 2, avg turns 4.24, longest 36, cross T>B 1/B>T 7, L>R 0/R>L 1, regions 9, streak 8, backtrack H10/V16, seed campaign.
189. 189_Level_EZ_152 [EASY]: 38x36 Rectangle, DX complexity 100%, 71 arrows, 1224/1224 cells (100.0 %), waves 31, widest 5, >2 waves 11, initial 2, avg turns 5.07, longest 36, cross T>B 2/B>T 5, L>R 8/R>L 6, regions 10, streak 6, backtrack H13/V20, seed campaign.
190. 190_Level_VH_19 [VERY HARD]: 39x38 Rectangle, DX Flow complexity 100%, 79 arrows, 1482/1482 cells (100.0 %), waves 45, widest 4, >2 waves 6, initial 1, avg turns 4.90, longest 40, cross T>B 5/B>T 5, L>R 4/R>L 5, regions 13, streak 12, backtrack H20/V24, seed campaign.
191. 191_Level_EZ_153 [EASY]: 36x35 LShape, DX complexity 100%, 45 arrows, 708/708 cells (100.0 %), waves 23, widest 5, >2 waves 8, initial 2, avg turns 3.96, longest 31, cross T>B 3/B>T 3, L>R 1/R>L 1, regions 9, streak 8, backtrack H15/V8, seed campaign.
192. 192_Level_EZ_154 [EASY]: 37x35 TwinBlocks, DX complexity 100%, 51 arrows, 720/720 cells (100.0 %), waves 31, widest 4, >2 waves 4, initial 3, avg turns 4.20, longest 31, cross T>B 3/B>T 2, L>R 1/R>L 3, regions 5, streak 10, backtrack H17/V16, seed campaign.
193. 193_Level_EZ_155 [EASY]: 37x36 Rectangle, DX complexity 100%, 69 arrows, 1190/1190 cells (100.0 %), waves 35, widest 4, >2 waves 8, initial 2, avg turns 4.52, longest 36, cross T>B 4/B>T 7, L>R 5/R>L 4, regions 9, streak 7, backtrack H21/V17, seed campaign.
194. 194_Level_EZ_156 [EASY]: 38x36 Staircase, DX complexity 100%, 48 arrows, 666/666 cells (100.0 %), waves 30, widest 3, >2 waves 3, initial 2, avg turns 4.13, longest 30, cross T>B 2/B>T 7, L>R 2/R>L 0, regions 9, streak 6, backtrack H19/V12, seed campaign.
195. 195_Level_H_20 [HARD]: 39x38 Rectangle, DX Flow complexity 100%, 74 arrows, 1406/1406 cells (100.0 %), waves 31, widest 6, >2 waves 13, initial 3, avg turns 5.41, longest 42, cross T>B 9/B>T 6, L>R 3/R>L 6, regions 9, streak 7, backtrack H13/V12, seed campaign.
196. 196_Level_EZ_157 [EASY]: 36x35 Cross, DX complexity 100%, 53 arrows, 710/710 cells (100.0 %), waves 23, widest 5, >2 waves 7, initial 2, avg turns 3.47, longest 31, cross T>B 1/B>T 7, L>R 4/R>L 3, regions 7, streak 6, backtrack H10/V12, seed campaign.
197. 197_Level_EZ_158 [EASY]: 37x35 Rectangle, DX complexity 100%, 75 arrows, 1224/1224 cells (100.0 %), waves 37, widest 5, >2 waves 9, initial 1, avg turns 4.67, longest 37, cross T>B 4/B>T 7, L>R 4/R>L 5, regions 13, streak 7, backtrack H14/V22, seed campaign.
198. 198_Level_EZ_159 [EASY]: 37x36 Dumbbell, DX complexity 100%, 51 arrows, 757/757 cells (100.0 %), waves 22, widest 5, >2 waves 8, initial 4, avg turns 4.27, longest 32, cross T>B 2/B>T 2, L>R 3/R>L 0, regions 6, streak 8, backtrack H10/V12, seed campaign.
199. 199_Level_EZ_160 [EASY]: 38x36 Rectangle, DX complexity 100%, 78 arrows, 1368/1368 cells (100.0 %), waves 39, widest 6, >2 waves 11, initial 2, avg turns 4.26, longest 39, cross T>B 4/B>T 7, L>R 4/R>L 3, regions 15, streak 7, backtrack H17/V17, seed campaign.
200. 200_Level_VH_20 [VERY HARD]: 39x38 Rectangle, DX Flow complexity 100%, 82 arrows, 1482/1482 cells (100.0 %), waves 34, widest 5, >2 waves 12, initial 2, avg turns 4.70, longest 43, cross T>B 6/B>T 5, L>R 6/R>L 6, regions 9, streak 7, backtrack H16/V14, seed campaign.
